Hypothesis,Can test at home?,Test number,Result,Still plausible?,What evidence needed from friend?,Requires Pro?
Different matrix source/state labels,Partial; settings can be compared from files,TEST 135; TEST 146; TEST 147; TEST 148; TEST 149; TEST 150; TEST 151; TEST 152; TEST 153; TEST 154; TEST 155; TEST 156; TEST 157; TEST 158; TEST 159; TEST 160; TEST 161; TEST 162; TEST 163; TEST 164; TEST 165; TEST 166; TEST 167; TEST 168; TEST 169; TEST 170; TEST 171,Raw hh2 is LH-like; frozen scalar matrices paired with anchored kp8 dispersion; No like-for-like matrix bug proved,Yes as unresolved difference,"Friend matrices, raw state indices, definition of O/z and energy alignment",NO
Abrupt structure,Partial; settings can be compared from files,TEST 138; TEST 139; TEST 143,Interface mismatch established; No controlled abrupt kp8 comparison; scalar QC failed,Yes as unresolved difference,Exact deck and output composition,YES if files absent
Different BZ definition/cutoff,Partial; settings can be compared from files,TEST 133; TEST 134,pi/a versus2pi/a ambiguity; cutoff-sensitive peaks; No0.20pi/a output,Yes as unresolved difference,Exact k vector list and integration domain,YES if files absent
Schrodinger-Poisson,Partial; settings can be compared from files,TEST 140; TEST 141,Production lacks loop; paper says Poisson; Electrostatic conditions unclear; zero doping not proof of spectral effect,Yes as unresolved difference,"Electrostatic boundary conditions, occupations, converged log",YES if files absent
Finite-k matrices,Partial; settings can be compared from files,TEST 74; TEST 75; TEST 76; TEST 142,Could change cancellation; Friend reportedly reproduced withM0; no demonstration of necessity,Yes as unresolved difference,Exact matrix(k) assumption/export,YES if files absent
Different Gamma,Partial; settings can be compared from files,TEST 08; TEST 09; TEST 10; TEST 11; TEST 12; TEST 13; TEST 14; TEST 15; TEST 16; TEST 17; TEST 18; TEST 19; TEST 20; TEST 21; TEST 22; TEST 23; TEST 24; TEST 25; TEST 26; TEST 27; TEST 28; TEST 29; TEST 30; TEST 31; TEST 132,Some RMSE improvement; No complete topology repair,Weak as sole explanation,"Definition HWHM/FWHM, denominator placement",NO
Friend plotted absolute real,Partial; settings can be compared from files,TEST 01; TEST 02; TEST 03; TEST 04; TEST 05; TEST 06; TEST 07,RMSE0.237873; Paper magnitude label; missing features,Weak as sole explanation,Exact plotted expression,NO
Different pathway subset,Partial; settings can be compared from files,TEST 32; TEST 33; TEST 34; TEST 35; TEST 36; TEST 37; TEST 38,Offdiagonal RMSE0.221494; Deleting terms not justified,Weak as sole explanation,Exact summation code,NO
Different equation/complex handling,Partial; settings can be compared from files,TEST 121,Latent conjugation bug for complex inputs; Baseline real-input agreement excellent,Weak as sole explanation,Exact code and matrix phases,NO
Different wavelength convention,Partial; settings can be compared from files,TEST 104; TEST 105; TEST 106; TEST 107; TEST 108; TEST 109; TEST 110; TEST 111; TEST 112; TEST 113,Can move features; Paper explicitly fundamental; cannot invent topology,Weak as sole explanation,Axis conversion code,NO
Different version/database,Partial; settings can be compared from files,TEST 138; TEST 139; TEST 143,Could alter bands; No evidence of actual difference yet,Weak as sole explanation,Version and simulation_database.txt,YES if new solve needed
Ordinary radial normalization bug,Partial; settings can be compared from files,TEST 45; TEST 46; TEST 47; TEST 48; TEST 49; TEST 50; TEST 51; TEST 52,None; normalized constant variants identical; Direct numerical checks pass,Weak as sole explanation,Integration weights code,NO
