Rank,Hypothesis,Evidence for,Evidence against,Explains peak positions?,Explains 605 zero?,Explains 1330 zero?,Explains overall shape?,Can test from existing data?,Requires Pro rerun?,Confidence,Confidence score
1,missing states / model-space truncation (transition above the bound-subband range),"24N reachability: P1 (540 nm) and P3 (1080 nm) are an exact one-photon/two-photon pair of a single 2.296 eV transition; the largest transition any bound-subband pair reaches before the electron leaves the 2.145 eV barrier is 1.966 eV, so no k, energy shift, amplitude, sign, broadening or normalization change can create them; both model 'features' sit on their search-window edges","the paper text restricts Eq. 2 to the first two electron and HH bound states, so this implies the compared curve is not that four-state calculation",yes,yes,partly,yes,yes,yes,0.94,0.94
2,missing finite-k M(k),"24N amplitude scan: a single -10% change in C_m1_n1_l1 (or +10% in V_m1_n1_l1) opens a genuine complex node at 573 nm (normalized 0.0001) and 1282 nm (0.0018), both moving toward the paper's 605/1330 nm; electron and heavy-hole subtotals are 180.0 deg antiphase and cancel to 4.3-4.9%, so a few-percent numerator error is amplified about 21-24x; a frozen numerator also fails to damp the high-k tail, which is what leaves the cutoff artifact sharp","no finite-k envelope or matrix data exist in the copied output, so the required M(k) variation is bounded, not measured",partly,yes,yes,yes,no,yes,0.90,0.9
3,kmax / k-truncation artifact,"24N cutoff test: the model peak near 1318 nm moves 1502->1431->1376->1318 nm as kmax goes 0.05->0.125 pi/a and matches 2hc/DeltaE(kmax) to 9 nm mean error, so it is a truncation artifact, not a resonance; the 659 nm peak behaves the same way at one photon; the integrand for P1/Z1/P3/Z2 still peaks at the last k sample","the two features that do match the paper (752 and 1503 nm) are stable to 1 nm across all four cutoffs, so truncation does not explain the P2/P4 residual; extending kmax alone would move the artifact rather than remove it",partly,partly,yes,yes,yes,yes,0.88,0.88
4,geometry mismatch,"a structure whose second dominant transition sits at 2.296 eV differs materially from the Demo 23 stack, whose barrier gap is only 2.145 eV; Fig. 2d also appears to use ideal interfaces against Demo 23's 1-nm linear grading",all nominal layer dimensions match and the P2/P4 pair is already reproduced to 8-17 nm,yes,possible,possible,yes,partly,yes,0.72,0.72
5,energy-dispersion mismatch,"24N derivatives: P2 and P4 are controlled by DeltaE_22 with dLambda/dE = -0.46 and -0.92 nm/meV (exactly the 1:2 one-/two-photon ratio), and both close on the paper with a single coherent -17/-18 meV shift of e2","a 17 meV offset is within band-parameter uncertainty and cannot touch P1/Z1/P3/Z2, which are energy-insensitive to machine precision",partly,no,no,partly,yes,maybe,0.55,0.55
6,HH/LH state misassignment,"Demo 23 hh2 pair 3+4 is 97.6% LH at k=0, while the unselected pair 1+2 is 100% HH","24N shows the reassignment moves E_hh2 down 19 meV, which drives P2/P4 the wrong way (dLambda/dE_hh2 = +0.46/+0.92 nm/meV, and the paper needs +17 meV); the state-corrected candidate scores worse on the only two features that currently match",no,no,no,partly,yes,yes,0.45,0.45
7,anisotropy / radial reduction,"alternate direction differs, especially hh1; the radial gate fails",only two directions exist and no 2D chi can be formed; anisotropy cannot supply a 2.296 eV transition,possible,no,no,partly,partly,maybe,0.40,0.4
8,Equation-2 specialization / missing frequency permutation,published Eq. 1 includes a polarization/permutation sum whose reduction is not fully reproduced in the paper text,literal Eq. 2 and all 16 implemented terms agree; the instrumented mirror reproduces the production engine to 1e-14 relative,possible,possible,possible,partly,yes,no,0.30,0.3
9,paper digitization / peak correspondence,45 points and eye reading make narrow extrema uncertain,"P1 is a well-resolved digitized maximum (1260 between 450 and 680) and the 540/1080 and 760/1520 pairs are both exact 1:2 ratios, which eye error would not manufacture; errors are far larger than plausible digitization uncertainty",partly,no,no,partly,yes,no,0.24,0.24
10,broadening,Gamma changes absorptive filling and peak widths,the 2.5-10 meV ladder does not restore topology and cannot move a resonance band; paper uses 5 meV,no,partly,partly,partly,yes,no,0.18,0.18
11,pathway sign/indexing,nodes depend on delicate signed cancellation and 24N confirms the cancellation is 180.0 deg exact,"literal-equation, sign, conjugation and phase-invariance audits pass; the 16 terms sum to the total and the electron/heavy-hole split reproduces it",no,unlikely,unlikely,no,yes,no,0.12,0.12
12,k-grid,coarse grids can affect resonances,"101/201/301 copied cases show stable normalized topology; 24N shows the cutoff, not the sampling density, sets the artifact",no,no,no,no,yes,no,0.08,0.08
13,normalization,absolute scale remains discrepant,global factors cannot alter normalized shape or create nodes,no,no,no,no,yes,no,0.02,0.02
