case_id,case_name,profile,nominal_grade_width_nm,I1_profile,I1_width_nm,I2_profile,I2_width_nm,I3_profile,I3_width_nm,I4_profile,I4_width_nm,well1_nm,tunnel_barrier_nm,well2_nm,barrier_Al_fraction,well_Al_fraction,grading_geometry_convention,implementation_type,requires_solver,notes
00,Abrupt reference,abrupt,0.0,abrupt,0.0,abrupt,0.0,abrupt,0.0,abrupt,0.0,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,Reference for every normalized comparison.
01,Linear 0.2 nm,linear,0.2,linear,0.2,linear,0.2,linear,0.2,linear,0.2,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,
02,Linear 0.4 nm,linear,0.4,linear,0.4,linear,0.4,linear,0.4,linear,0.4,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,
03,Linear 0.7 nm,linear,0.7,linear,0.7,linear,0.7,linear,0.7,linear,0.7,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,
04,Linear 1.0 nm,linear,1.0,linear,1.0,linear,1.0,linear,1.0,linear,1.0,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,
05,Linear 1.4 nm,linear,1.4,linear,1.4,linear,1.4,linear,1.4,linear,1.4,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,
06,Asymmetric inner grading A,linear,,abrupt,0.0,linear,0.4,linear,0.8,abrupt,0.0,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,Outer interfaces abrupt; isolates orientation of inner grading.
07,Asymmetric inner grading B,linear,,abrupt,0.0,linear,0.8,linear,0.4,abrupt,0.0,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,Reverse of Case 06.
08,Inner interfaces graded only,linear,0.7,abrupt,0.0,linear,0.7,linear,0.7,abrupt,0.0,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,Isolates changes to inter-well coupling.
09,Outer interfaces graded only,linear,0.7,linear,0.7,abrupt,0.0,abrupt,0.0,linear,0.7,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",NATIVE_NEXTNANO_SYNTAX,True,Isolates changes primarily associated with outer confinement.
10,Fermi-like 0.7 nm,fermi,0.7,fermi,0.7,fermi,0.7,fermi,0.7,fermi,0.7,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",PYTHON_GENERATED_PROFILE_RENDERED_TO_NEXTNANO,True,Python-generated endpoint-normalized logistic profile.
11,erf 0.7 nm,erf,0.7,erf,0.7,erf,0.7,erf,0.7,erf,0.7,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",PYTHON_GENERATED_PROFILE_RENDERED_TO_NEXTNANO,True,Python-generated endpoint-normalized error-function profile.
12,Cosine 0.7 nm,cosine,0.7,cosine,0.7,cosine,0.7,cosine,0.7,cosine,0.7,7.1,1.8,2.9,0.55,0.0,"Full 0-to-0.55 transition width centered on the nominal abrupt interface; equal lengths of the adjacent materials are replaced, while nominal interface positions and total device length remain fixed.",PYTHON_GENERATED_PROFILE_RENDERED_TO_NEXTNANO,True,Python-generated raised-cosine profile.
